trialid,ppid,block,maxyr,onsettime,dn,ttlc.failure,rt,disengage_trialtime,world_x_disengaged,world_z_disengaged,world_x_onset,world_z_onset,peak_swa,peak_sr,disengaged,ttlc.takeover,early.disengagement
10_0_1_20_11_D,10,1,20,11,D,2.03,2.6717801429572,13.6717801429572,54.8974800109863,29.3976402282715,42.4644966125488,46.700611114502,90,4.3200033903122,1,-0.6417801429572,FALSE
10_0_1_20_11_N,10,1,20,11,N,2.03,0.9429342445244,11.9429342445244,47.142261505127,40.5709342956543,42.4641075134277,46.3947448730469,73.0799978971481,2.96999931335449,1,1.0870657554756,FALSE
10_0_1_20_3_D,10,1,20,3,D,2.33,1.00681793484824,4.00681793484824,0.750973045825958,32.3987541198731,0.172254607081413,24.4213123321533,60.3000015020371,3.7799996137619,1,1.32318206515176,FALSE
10_0_1_20_3_N,10,1,20,3,N,2.33,1.00862119968124,4.00862119968124,0.750852167606354,32.4452018737793,0.172187894582748,24.4677391052246,81.5400016307831,2.43000090122223,1,1.32137880031876,FALSE
10_0_1_6_11_D,10,1,6,11,D,4.12,1.64034857888,12.64034857888,29.3397312164307,93.0127944946289,20.4511032104492,83.4341735839844,29.9700003862381,0.810000300407413,1,2.47965142112,FALSE
10_0_1_6_11_N,10,1,6,11,N,4.12,2.6605092849726,13.6605092849726,34.9958114624023,98.91357421875,20.4528522491455,83.4735794067383,46.3499987125397,1.88999980688096,1,1.4594907150274,FALSE
10_0_1_6_3_D,10,1,6,3,D,3.76,2.00929674482626,5.00929674482626,0.528494954109192,40.465145111084,0.00271989824250341,24.4732131958008,28.0800005793571,1.97999998927117,1,1.75070325517374,FALSE
10_0_1_6_3_N,10,1,6,3,N,3.76,1.75629150467267,4.75629150467267,0.410919070243835,38.4188385009766,0.0016059490153566,24.4264945983887,42.1199995279312,2.60999858379364,1,2.00370849532733,FALSE
10_0_2_20_11_D,10,2,20,11,D,2.03,1.2761962401294,12.2761962401294,48.6270065307617,38.5487098693848,42.3754653930664,46.5182113647461,78.9299976825714,2.1599990129471,1,0.7538037598706,FALSE
10_0_2_20_11_N,10,2,20,11,N,2.03,1.0328043877231,12.0328043877231,37.6729774475098,51.5919799804688,29.9324855804443,54.0810127258301,90,5.03999948501586,1,0.997195612276899,FALSE
10_0_2_20_3_D,10,2,20,3,D,2.33,1.22481737944024,4.22481737944024,0.949528336524963,34.1763305664063,0.172231987118721,24.4776287078857,73.6200016736984,2.60999858379364,1,1.10518262055976,FALSE
10_0_2_20_3_N,10,2,20,3,N,2.33,1.04113188524786,4.04113188524786,0.779906392097473,32.8028984069824,0.172521457076073,24.5619335174561,48.5099977254868,2.78999894857407,1,1.28886811475214,FALSE
10_0_2_6_11_D,10,2,6,11,D,4.12,1.4248321701963,12.4248321701963,28.1440162658691,91.7934875488281,20.4648628234863,83.4906921386719,37.9799991846085,1.88999980688095,1,2.6951678298037,FALSE
10_0_2_6_11_N,10,2,6,11,N,4.12,1.2934319987443,12.2934319987443,27.4180564880371,91.0225143432617,20.4522571563721,83.4708786010742,29.2499989271164,1.25999987125397,1,2.8265680012557,FALSE
10_0_2_6_3_D,10,2,6,3,D,3.76,2.20613786192075,5.20613786192075,0.631064355373383,42.0129928588867,0.00208126404322684,24.4246101379395,27.3599991202354,1.88999980688095,1,1.55386213807925,FALSE
10_0_2_6_3_N,10,2,6,3,N,3.76,1.50941235420541,4.50941235420541,0.312052637338638,36.4617195129395,0.00260695419274271,24.4669208526611,34.1999995708466,1.89000114798545,1,2.25058764579459,FALSE
10_0_3_20_11_D,10,3,20,11,D,2.03,1.6758765786868,12.6758765786868,50.4349822998047,35.9853668212891,42.3737373352051,46.5914573669434,90,3.42000156641006,1,0.354123421313199,FALSE
10_0_3_20_11_N,10,3,20,11,N,2.03,0.802006109487801,11.8020061094878,36.4134864807129,52.0171585083008,30.3214359283447,53.9853553771973,90,2.97000467777254,1,1.2279938905122,FALSE
10_0_3_20_3_D,10,3,20,3,D,2.33,1.34209690661902,4.34209690661902,1.06959056854248,35.2352905273438,0.172499984502792,24.6088600158691,90,4.41000223159791,1,0.98790309338098,FALSE
10_0_3_20_3_N,10,3,20,3,N,2.33,1.04251225519789,4.04251225519789,0.779497385025024,32.7088317871094,0.172211080789566,24.4668064117432,45.2700018882752,2.34000071883201,1,1.28748774480211,FALSE
10_0_3_6_11_D,10,3,6,11,D,4.12,1.7789418874212,12.7789418874212,30.0948143005371,93.8424377441406,20.4524269104004,83.4750823974609,30.1500007510185,0.810000300407413,1,2.3410581125788,FALSE
10_0_3_6_11_N,10,3,6,11,N,4.12,1.8577156431866,12.8577156431866,30.5352153778076,94.3060531616211,20.4490833282471,83.4739151000977,29.070001244545,1.53000041842461,1,2.2622843568134,FALSE
10_0_3_6_3_D,10,3,6,3,D,3.76,2.84355243775808,5.84355243775808,1.03089094161987,47.1107940673828,0.00256942468695343,24.4683532714844,65.5199986696243,4.04999881982803,1,0.916447562241919,FALSE
10_0_3_6_3_N,10,3,6,3,N,3.76,2.09303536499964,5.09303536499964,0.571430325508118,41.133228302002,0.00308478367514908,24.4710292816162,35.0999987125397,2.16000035405159,1,1.66696463500036,FALSE
10_0_4_20_11_D,10,4,20,11,D,2.03,0.926263855014399,11.9262638550144,47.0614929199219,40.682559967041,42.4632301330566,46.3965148925781,88.3799993991852,3.86999845504762,1,1.1037361449856,FALSE
10_0_4_20_11_N,10,4,20,11,N,2.03,1.4601998865036,12.4601998865036,49.5238189697266,37.1898384094238,42.468635559082,46.393928527832,75.9599983692169,4.50000107288361,1,0.569800113496399,FALSE
10_0_4_20_3_D,10,4,20,3,D,2.33,1.37585333607013,4.37585333607013,1.10469543933868,35.3618392944336,0.172202974557877,24.4727573394775,90,3.6900007724762,1,0.95414666392987,FALSE
10_0_4_20_3_N,10,4,20,3,N,2.33,1.00878993504142,4.00878993504142,0.750894665718079,32.4475173950195,0.172212794423103,24.4704456329346,61.9200021028519,3.6900007724762,1,1.32121006495858,FALSE
10_0_4_6_11_D,10,4,6,11,D,4.12,3.3604314071141,14.3604314071141,38.9158058166504,102.912414550781,20.4524440765381,83.4744873046875,45,2.06999748945236,1,0.759568592885899,FALSE
10_0_4_6_11_N,10,4,6,11,N,4.12,1.3555604187293,12.3555604187293,17.3769111633301,80.2176971435547,11.5340051651001,71.1294097900391,43.1999990344048,1.61999791860579,1,2.7644395812707,FALSE
10_0_4_6_3_D,10,4,6,3,D,3.76,1.92321665740985,4.92321665740985,0.487074434757233,39.750358581543,0.00216677552089095,24.4266738891602,43.4700009226799,2.2500005364418,1,1.83678334259015,FALSE
10_0_4_6_3_N,10,4,6,3,N,3.76,1.77498732220909,4.77498732220909,0.420126169919968,38.6026649475098,0.00284594343975186,24.4768333435059,43.5599997639656,1.88999980688096,1,1.98501267779091,FALSE
10_0_5_20_11_D,10,5,20,11,D,2.03,0.925973171379599,11.9259731713796,47.0613708496094,40.6826095581055,42.4640464782715,46.3955726623535,67.5,2.79000163078307,1,1.1040268286204,FALSE
10_0_5_20_11_N,10,5,20,11,N,2.03,0.8923712902369,11.8923712902369,46.9059257507324,40.9002113342285,42.4633522033691,46.4021606445313,61.3799983263016,1.44000023603439,1,1.1376287097631,FALSE
10_0_5_20_3_D,10,5,20,3,D,2.33,1.20960282292145,4.20960282292145,0.933177173137665,34.0260925292969,0.172181904315948,24.4595737457275,89.9100011587143,4.23000186681747,1,1.12039717707855,FALSE
10_0_5_20_3_N,10,5,20,3,N,2.33,1.03940257419527,4.03940257419527,0.780844688415527,32.8195381164551,0.172509089112282,24.5693778991699,64.6199995279312,3.60000193119051,1,1.29059742580473,FALSE
10_0_5_6_11_D,10,5,6,11,D,4.12,1.7755176764628,12.7755176764628,30.0796127319336,93.8290863037109,20.452844619751,83.4779891967773,25.7400012016296,1.07999950647354,1,2.3444823235372,FALSE
10_0_5_6_11_N,10,5,6,11,N,4.12,2.0779569438072,13.0779569438072,31.7467746734619,95.6587677001953,20.4577789306641,83.5777359008789,29.070001244545,1.35000005364418,1,2.0420430561928,FALSE
10_0_5_6_3_D,10,5,6,3,D,3.76,2.29302721499118,5.29302721499118,0.67826235294342,42.7234992980957,0.00262664863839746,24.4695930480957,41.3099992275238,1.88999980688095,1,1.46697278500882,FALSE
