"","V1","trialid","ppid","block","maxyr","onsettime","dn","ttlc.failure","rt","disengage_trialtime","world_x_disengaged","world_z_disengaged","world_x_onset","world_z_onset","peak_swa","peak_sr","disengaged","early.disengagement","ttlc.takeover","X","steeringbias_disengaged","failure.point","remove"
"1",4,"1_1_13_5_N",1,1,13,5,"N",1.38,0.533333,5.533333,3.111229,44.0935,2.000062,39.97112,90,4.950001,1,FALSE,0.846667,4,-8.4165062429786,"Bend entry",FALSE
"2",13,"1_1_6_11_D",1,1,6,11,"D",2.57,0.449999999999999,11.45,22.6636028289795,85.9239807128906,20.2719173431396,83.2203903198242,30.0599992275238,0.990000665187829,1,FALSE,2.12,13,-11.4119316063874,"Bend exit",FALSE
"3",14,"1_1_6_11_N",1,1,6,11,"N",2.57,0.9166666666667,11.9166666666667,25.141996383667,88.8365249633789,20.280590057373,83.3246688842773,37.4400007724762,0.989999324083325,1,FALSE,1.6533333333333,14,-11.8736689059156,"Bend exit",FALSE
"4",15,"1_1_6_5_D",1,1,6,5,"D",2,0.75,5.75,1.72132563591003,46.1462593078613,0.963383138179779,40.1897087097168,45.2700018882751,1.35000139474868,1,FALSE,1.25,15,-4.6604031957821,"Bend entry",FALSE
"5",16,"1_1_6_8_D",1,1,6,8,"D",1.9,0.65,8.65,9.42623329162598,67.8687973022461,7.24267768859863,63.1456413269043,47.7900016307831,1.6199979186058,1,FALSE,1.25,16,-8.76692143307004,"Bend apex",FALSE
"6",17,"1_1_6_8_N",1,1,6,8,"N",1.9,0.83333333333333,8.83333333333333,10.0429315567017,69.2167739868164,7.24367475509644,63.1620864868164,55.8000004291534,2.43000090122224,1,FALSE,1.06666666666667,17,-9.10940535072936,"Bend apex",FALSE
"7",20,"1_2_13_11_D",1,2,13,11,"D",1.63,0.56667,11.56667,41.64458,67.35961,37.09361,67.38007,59.67,2.339999,1,FALSE,1.06333,20,-16.260663051813,"Bend exit",FALSE
"8",21,"1_2_13_11_N",1,2,13,11,"N",1.63,0.81667,11.81667,43.63386,67.18934,37.09635,67.2192,90,6.210001,1,FALSE,0.81333,21,-16.2371235225894,"Bend exit",FALSE
"9",22,"1_2_13_5_D",1,2,13,5,"D",1.38,0.566667,5.566667,3.179988,44.34759,1.999949,39.96971,88.11,3.150002,1,FALSE,0.813333,22,-8.52872768434658,"Bend entry",FALSE
"10",23,"1_2_13_5_N",1,2,13,5,"N",1.38,0.516667,5.516667,3.067543,43.9515,2.000172,39.94889,89.46,2.790002,1,FALSE,0.863333,23,-8.35838466076422,"Bend entry",FALSE
"11",24,"1_2_13_8_D",1,2,13,8,"D",1.3,0.550000000000001,8.55,18.2665,62.43579,14.79943,59.71972,90,4.950001,1,FALSE,0.749999999999999,24,-14.7155172576716,"Bend apex",FALSE
"12",35,"1_2_6_11_N",1,2,6,11,"N",2.57,1.1,12.1,26.1008205413818,89.7930145263672,20.2705326080322,83.2027816772461,43.3799993991852,2.51999974250793,1,FALSE,1.47,35,-11.935955479918,"Bend exit",FALSE
"13",36,"1_2_6_5_D",1,2,6,5,"D",2,0.5,5.5,1.46516370773315,44.0688819885254,0.959439396858215,40.0908470153809,39.9600005149841,0.900001823902127,1,FALSE,1.5,36,-4.15034601446861,"Bend entry",FALSE
"14",37,"1_2_6_5_N",1,2,6,5,"N",2,0.83333333333333,5.83333333333333,1.80520582199097,46.8026542663574,0.963235795497894,40.1854782104492,53.7300002574921,2.78999894857405,1,FALSE,1.16666666666667,37,-4.82929978783044,"Bend entry",FALSE
"15",38,"1_2_6_8_D",1,2,6,8,"D",1.9,0.66666666666667,8.66666666666667,9.48214244842529,67.9689102172852,7.24310922622681,63.1255798339844,48.1500023603439,1.70999944210052,1,FALSE,1.23333333333333,38,-8.78358261699448,"Bend apex",FALSE
"16",39,"1_2_6_8_N",1,2,6,8,"N",1.9,0.633333333333329,8.63333333333333,9.37059020996094,67.7295074462891,7.24339389801025,63.1282081604004,57.4200010299683,1.98000133037568,1,FALSE,1.26666666666667,39,-8.72627799675166,"Bend apex",FALSE
