"","V1","trialid","ppid","block","maxyr","onsettime","dn","ttlc.failure","rt","disengage_trialtime","world_x_disengaged","world_z_disengaged","world_x_onset","world_z_onset","peak_swa","peak_sr","disengaged","early.disengagement","ttlc.takeover","X","steeringbias_disengaged","failure.point","remove"
"1",1,"1_1_13_1.5_D",1,1,13,1.5,"D",3.23,2.3,3.3,0.03873573,26.52859,0.002800504,12.12859,44.82,1.619999,1,FALSE,0.93,1,-2.6525547069727,"Straight",FALSE
"2",2,"1_1_13_1.5_N",1,1,13,1.5,"N",3.23,2.5,3.5,0.04271967,28.12846,0.002799882,12.12929,52.29,2.339999,1,FALSE,0.73,2,-3.14552085242664,"Straight",FALSE
"3",4,"1_1_13_5_N",1,1,13,5,"N",1.38,0.533333,5.533333,3.111229,44.0935,2.000062,39.97112,90,4.950001,1,FALSE,0.846667,4,-8.4165062429786,"Bend entry",FALSE
"4",11,"1_1_6_1.5_D",1,1,6,1.5,"D",4.02,3.23333333333333,4.23333333333333,-0.0444575324654579,34.0005836486816,0.00663206353783607,12.1310939788818,33.75,1.71000078320503,1,FALSE,0.78666666666667,11,-2.68371388886542,"Straight",FALSE
"5",12,"1_1_6_1.5_N",1,1,6,1.5,"N",4.02,3,4,-0.0400509350001812,32.1282196044922,0.00664288271218538,12.1299486160278,29.1600000858307,8.18999983370304,1,FALSE,1.02,12,-2.27362729367348,"Straight",FALSE
"6",13,"1_1_6_11_D",1,1,6,11,"D",2.57,0.449999999999999,11.45,22.6636028289795,85.9239807128906,20.2719173431396,83.2203903198242,30.0599992275238,0.990000665187829,1,FALSE,2.12,13,-11.4119316063874,"Bend exit",FALSE
"7",14,"1_1_6_11_N",1,1,6,11,"N",2.57,0.9166666666667,11.9166666666667,25.141996383667,88.8365249633789,20.280590057373,83.3246688842773,37.4400007724762,0.989999324083325,1,FALSE,1.6533333333333,14,-11.8736689059156,"Bend exit",FALSE
"8",15,"1_1_6_5_D",1,1,6,5,"D",2,0.75,5.75,1.72132563591003,46.1462593078613,0.963383138179779,40.1897087097168,45.2700018882751,1.35000139474868,1,FALSE,1.25,15,-4.6604031957821,"Bend entry",FALSE
"9",16,"1_1_6_8_D",1,1,6,8,"D",1.9,0.65,8.65,9.42623329162598,67.8687973022461,7.24267768859863,63.1456413269043,47.7900016307831,1.6199979186058,1,FALSE,1.25,16,-8.76692143307004,"Bend apex",FALSE
"10",17,"1_1_6_8_N",1,1,6,8,"N",1.9,0.83333333333333,8.83333333333333,10.0429315567017,69.2167739868164,7.24367475509644,63.1620864868164,55.8000004291534,2.43000090122224,1,FALSE,1.06666666666667,17,-9.10940535072936,"Bend apex",FALSE
